Ref,Val,Package,PosX,PosY,Rot,Side
"D0:1","D","D3_SMD_v2_copy",365.125000,-183.356250,65.000000,bottom
"D0:2","D","D3_SMD_v2_copy",335.756250,-171.450000,335.000000,bottom
"D0:3","D","D3_SMD_v2_copy",321.468750,-154.781250,65.000000,bottom
"D0:4","D","D3_SMD_v2_copy",379.780800,-154.889200,335.000000,bottom
"D0:5","D","D3_SMD_v2_copy",364.331250,-140.493750,65.000000,bottom
"D0:6","D","D3_SMD_v2_copy",381.793750,-148.431250,65.000000,bottom
"D0:7","D","D3_SMD_v2_copy",38.893750,-146.050000,115.000000,bottom
"D0:8","D","D3_SMD_v2_copy",56.356250,-138.112500,115.000000,bottom
"D0:9","D","D3_SMD_v2_copy",46.532800,-163.118800,115.000000,bottom
"D0:10","D","D3_SMD_v2_copy",94.030800,-154.076400,295.000000,bottom
"D0:11","D","D3_SMD_v2_copy",79.044800,-171.094400,205.000000,bottom
"D0:12","D","D3_SMD_v2_copy",54.610000,-180.594000,115.000000,bottom
"D1:0","D","D3_SMD_v2_copy",231.775000,-147.637500,90.000000,bottom
"D1:1","D","D3_SMD_v2_copy",250.825000,-147.637500,90.000000,bottom
"D1:2","D","D3_SMD_v2_copy",269.875000,-144.462500,90.000000,bottom
"D1:3","D","D3_SMD_v2_copy",288.925000,-142.875000,90.000000,bottom
"D1:4","D","D3_SMD_v2_copy",307.977540,-144.647920,90.000000,bottom
"D1:5","D","D3_SMD_v2_copy",340.518750,-134.937500,245.000000,bottom
"D1:6","D","D3_SMD_v2_copy",350.043750,-139.700000,245.000000,bottom
"D1:7","D","D3_SMD_v2_copy",68.526660,-150.436580,295.000000,bottom
"D1:8","D","D3_SMD_v2_copy",86.664800,-144.244060,295.000000,bottom
"D1:9","D","D3_SMD_v2_copy",112.712500,-144.462500,90.000000,bottom
"D1:10","D","D3_SMD_v2_copy",131.762500,-142.875000,90.000000,bottom
"D1:11","D","D3_SMD_v2_copy",150.812500,-144.462500,90.000000,bottom
"D1:12","D","D3_SMD_v2_copy",169.862500,-147.637500,90.000000,bottom
"D1:13","D","D3_SMD_v2_copy",188.912500,-147.637500,90.000000,bottom
"D2:0","D","D3_SMD_v2_copy",215.106250,-131.762500,90.000000,bottom
"D2:1","D","D3_SMD_v2_copy",250.825000,-128.587500,90.000000,bottom
"D2:2","D","D3_SMD_v2_copy",269.875000,-125.412500,90.000000,bottom
"D2:3","D","D3_SMD_v2_copy",288.925000,-123.825000,90.000000,bottom
"D2:4","D","D3_SMD_v2_copy",307.975000,-125.412500,90.000000,bottom
"D2:5","D","D3_SMD_v2_copy",327.025000,-127.000000,90.000000,bottom
"D2:6","D","D3_SMD_v2_copy",338.137500,-121.443750,0.000000,bottom
"D2:7","D","D3_SMD_v2_copy",76.200000,-113.506250,180.000000,bottom
"D2:8","D","D3_SMD_v2_copy",93.573600,-127.000000,90.000000,bottom
"D2:9","D","D3_SMD_v2_copy",112.712500,-125.412500,90.000000,bottom
"D2:10","D","D3_SMD_v2_copy",131.762500,-123.825000,90.000000,bottom
"D2:11","D","D3_SMD_v2_copy",150.815040,-125.597920,90.000000,bottom
"D2:12","D","D3_SMD_v2_copy",169.862500,-128.587500,90.000000,bottom
"D2:13","D","D3_SMD_v2_copy",193.675000,-128.587500,90.000000,bottom
"D3:0","D","D3_SMD_v2_copy",215.106250,-112.712500,90.000000,bottom
"D3:1","D","D3_SMD_v2_copy",250.825000,-109.537500,90.000000,bottom
"D3:2","D","D3_SMD_v2_copy",269.875000,-106.362500,90.000000,bottom
"D3:3","D","D3_SMD_v2_copy",288.925000,-104.775000,90.000000,bottom
"D3:4","D","D3_SMD_v2_copy",307.975000,-106.362500,90.000000,bottom
"D3:5","D","D3_SMD_v2_copy",327.025000,-107.950000,90.000000,bottom
"D3:8","D","D3_SMD_v2_copy",93.662500,-107.950000,90.000000,bottom
"D3:9","D","D3_SMD_v2_copy",112.712500,-106.362500,90.000000,bottom
"D3:10","D","D3_SMD_v2_copy",131.762500,-104.698800,90.000000,bottom
"D3:11","D","D3_SMD_v2_copy",150.812500,-106.362500,90.000000,bottom
"D3:12","D","D3_SMD_v2_copy",169.862500,-109.537500,90.000000,bottom
"D3:13","D","D3_SMD_v2_copy",193.675000,-109.537500,90.000000,bottom
"D4:0","D","D3_SMD_v2_copy",215.106250,-92.868750,90.000000,bottom
"D4:1","D","D3_SMD_v2_copy",250.825000,-90.487500,90.000000,bottom
"D4:2","D","D3_SMD_v2_copy",269.875000,-87.312500,90.000000,bottom
"D4:3","D","D3_SMD_v2_copy",288.925000,-85.725000,90.000000,bottom
"D4:4","D4:9","D3_SMD_v2_copy",307.975000,-87.312500,90.000000,bottom
"D4:5","D","D3_SMD_v2_copy",327.025000,-88.709500,90.000000,bottom
"D4:6","D","D3_SMD_v2_copy",337.667600,-93.421200,0.000000,bottom
"D4:7","D","D3_SMD_v2_copy",76.200000,-84.931250,180.000000,bottom
"D4:8","D","D3_SMD_v2_copy",93.662500,-88.900000,90.000000,bottom
"D4:9","D4:9","D3_SMD_v2_copy",112.712500,-87.312500,90.000000,bottom
"D4:10","D","D3_SMD_v2_copy",131.762500,-85.725000,90.000000,bottom
"D4:11","D","D3_SMD_v2_copy",150.812500,-87.312500,90.000000,bottom
"D4:12","D","D3_SMD_v2_copy",169.862500,-90.487500,90.000000,bottom
"D4:13","D","D3_SMD_v2_copy",193.675000,-90.487500,90.000000,bottom
"D5:0","D","D3_SMD_v2_copy",215.106250,-74.612500,90.000000,bottom
"D5:1","D","D3_SMD_v2_copy",250.825000,-71.437500,90.000000,bottom
"D5:2","D","D3_SMD_v2_copy",269.875000,-68.262500,90.000000,bottom
"D5:3","D","D3_SMD_v2_copy",288.925000,-67.468750,90.000000,bottom
