Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",170.332400,-50.114200,180.000000,top
"C2","0.1uf","C_0603_1608Metric",187.528200,-40.386000,315.000000,top
"C3","0.1uf","C_0603_1608Metric",186.055000,-52.679600,315.000000,top
"C4","0.1uf","C_0603_1608Metric",174.767240,-34.104580,180.000000,top
"C5","10uf","C_0603_1608Metric",166.547800,-41.224200,180.000000,top
"R1","2.2kΩ","R_0603_1608Metric",104.552750,-40.576500,315.000000,top
"R2","2.2kΩ","R_0603_1608Metric",101.377750,-41.846500,315.000000,top
"R3","10kΩ","R_0603_1608Metric",182.753000,-53.086000,225.000000,top
"R4","22Ω","R_0603_1608Metric",168.325800,-48.488600,180.000000,top
"R5","22Ω","R_0603_1608Metric",167.309800,-46.863000,180.000000,top
"R6","10kΩ","R_0603_1608Metric",182.778400,-35.407600,180.000000,top
"SW0:1","SW0:1","MXOnly-1U-Hotswap",364.464600,-178.054000,335.000000,top
"SW0:2","SW0:2","MXOnly-2U-Hotswap-ReversedStabilizers",351.231200,-161.366200,245.000000,top
"SW0:3","SW0:3","MXOnly-2U-Hotswap",333.984600,-153.314400,245.000000,top
"SW0:4","SW0:4","MXOnly-1U-Hotswap",372.541800,-160.782000,335.000000,top
"SW0:5","SW0:5","MXOnly-1U-Hotswap",363.321600,-135.458200,335.000000,top
"SW0:6","SW0:6","MXOnly-1U-Hotswap",380.593600,-143.510000,335.000000,top
"SW0:7","SW0:7","MXOnly-1U-Hotswap",33.841690,-143.522700,25.000000,top
"SW0:8","SW0:8","MXOnly-1U-Hotswap",51.106070,-135.473440,25.000000,top
"SW0:9","SW0:9","MXOnly-1U-Hotswap",41.890950,-160.787080,25.000000,top
"SW0:10","SW0:10","MXOnly-2U-Hotswap",80.445610,-153.319480,115.000000,top
"SW0:11","SW0:11","MXOnly-2U-Hotswap-ReversedStabilizers",63.181230,-161.371280,115.000000,top
"SW0:12","SW0:12","MXOnly-1U-Hotswap",49.942750,-178.054000,25.000000,top
"SW1","SWITCH_PUSH","SKQG-1155865",195.854320,-48.501300,90.000000,top
"SW1:0","SW1:0","MXOnly-1U-Hotswap",228.600000,-143.459200,0.000000,top
"SW1:1","SW1:1","MXOnly-1U-Hotswap",247.650000,-143.459200,0.000000,top
"SW1:2","SW1:2","MXOnly-1U-Hotswap",266.700000,-140.284200,0.000000,top
"SW1:3","SW1:3","MXOnly-1U-Hotswap",285.750000,-138.684000,0.000000,top
"SW1:4","SW1:4","MXOnly-1U-Hotswap",304.800000,-140.284200,0.000000,top
"SW1:9","SW1:9","MXOnly-1U-Hotswap",109.632750,-140.281660,0.000000,top
"SW1:10","SW1:10","MXOnly-1U-Hotswap",128.682750,-138.684000,0.000000,top
"SW1:11","SW1:11","MXOnly-1U-Hotswap",147.732750,-140.281660,0.000000,top
"SW1:12","SW1:12","MXOnly-1U-Hotswap",166.782750,-143.456660,0.000000,top
"SW1:13","SW1:13","MXOnly-1U-Hotswap",185.832750,-143.456660,0.000000,top
"SW2:0","SW2:0","MXOnly-1.5U-Hotswap",223.824800,-124.409200,0.000000,top
"SW2:1","SW2:1","MXOnly-1U-Hotswap",247.650000,-124.409200,0.000000,top
"SW2:2","SW2:2","MXOnly-1U-Hotswap",266.700000,-121.234200,0.000000,top
"SW2:3","SW2:3","MXOnly-1U-Hotswap",285.750000,-119.634000,0.000000,top
"SW2:4","SW2:4","MXOnly-1U-Hotswap",304.800000,-121.234200,0.000000,top
"SW2:5","SW2:5","MXOnly-1U-Hotswap",323.850000,-122.504200,0.000000,top
"SW2:6","SW2:6","MXOnly-1U-Hotswap",342.900000,-117.729000,270.000000,top
"SW2:7","SW2:7","MXOnly-1U-Hotswap",71.532750,-117.739160,90.000000,top
"SW2:8","SW2:8","MXOnly-1U-Hotswap",90.582750,-122.501660,0.000000,top
"SW2:9","SW2:9","MXOnly-1U-Hotswap",109.632750,-121.231660,0.000000,top
"SW2:10","SW2:10","MXOnly-1U-Hotswap",128.682750,-119.634000,0.000000,top
"SW2:11","SW2:11","MXOnly-1U-Hotswap",147.732750,-121.231660,0.000000,top
"SW2:12","SW2:12","MXOnly-1U-Hotswap",166.782750,-124.406660,0.000000,top
"SW2:13","SW2:13","MXOnly-1.5U-Hotswap",190.595250,-124.406660,0.000000,top
"SW2:14","SW2:02","MXOnly-1U-Hotswap",228.600000,-124.409200,180.000000,top
"SW2:132","SW2:132","MXOnly-1U-Hotswap",185.826400,-124.409200,90.000000,top
